Task Name,Category,Requested By,Deadline,Status,Quote Impact,Priority,Description/Notes
"Market-specific messaging modules","PROJECT 1 DELIVERABLES","Team requirement","28/03/26","PLANNED","-","Core Priority","Messaging adapted for different regions"
"Quick-turnaround personalization","PROJECT 1 DELIVERABLES","Team requirement","04/04/26","PLANNED","-","Core Priority","Rapid customization system for distributor materials"
"Brand Guidelines Completion","PROJECT 1 DELIVERABLES","Phase 1 incomplete","28/02/26","IN PROGRESS","$3-5k","Brand Foundation","Complete brand guidelines from Phase 1"
"Brand Governance System","PROJECT 1 DELIVERABLES","Lisa recommendation","14/03/26","PLANNED","$5-7k","Brand Foundation","AI-powered brand consistency system"
"AI brand consistency checking","PROJECT 1 DELIVERABLES","Lisa recommendation","21/03/26","PLANNED","-","Brand Foundation","Automated brand compliance checking"
"Template library for team use","PROJECT 1 DELIVERABLES","Lisa recommendation","21/03/26","PLANNED","-","Brand Foundation","Standardized template library"
"Compliance Documentation Framework","PROJECT 1 DELIVERABLES","James email (22/01/26)","07/03/26","CRITICAL","$2-3k","Brand Foundation","Medical device language guidelines - legal risk"
"Medical device language guidelines","PROJECT 1 DELIVERABLES","James","07/03/26","NEW","-","Brand Foundation","Guidelines to avoid medical device classification"
"Safe marketing claim framework","PROJECT 1 DELIVERABLES","James","07/03/26","NEW","-","Brand Foundation","Framework for compliant marketing claims"
"White Papers/Thought Leadership","PROJECT 1 DELIVERABLES","Competitive analysis shows need","28/03/26","PLANNED","$5-8k","Brand Foundation","Industry expertise positioning content"
"Industry expertise positioning","PROJECT 1 DELIVERABLES","Gerald input needed","28/03/26","PLANNED","-","Brand Foundation","Content positioning Emery as industry leader"
"Technical compliance content","PROJECT 1 DELIVERABLES","Gerald input needed","04/04/26","PLANNED","-","Brand Foundation","Technical expertise content creation"
"Portal Integration Strategy","PROJECT 2 DELIVERABLES","Team discussion (13/02/26)","30/04/26","SCOPED","Monthly fee","Customer Experience","Strategy for customer portal integration"
"IP protection within portals","PROJECT 2 DELIVERABLES","Helena concern","30/04/26","PLANNED","-","Customer Experience","Protect intellectual property in customer portals"
"Brand governance for portal content","PROJECT 2 DELIVERABLES","Lisa recommendation","15/05/26","PLANNED","-","Customer Experience","Ensure brand consistency in portals"
"AI integration for user support","PROJECT 2 DELIVERABLES","Lisa recommendation","30/05/26","PLANNED","-","Customer Experience","AI support bots for portal users"
"Customer Journey Mapping","PROJECT 2 DELIVERABLES","Phase 1 requirement","15/04/26","PLANNED","Monthly fee","Customer Experience","Map complete customer experience journey"
"Lead Nurturing Systems","PROJECT 2 DELIVERABLES","Sales team need","30/04/26","PLANNED","Monthly fee","Customer Experience","Automated lead nurturing workflows"
"AI Tool Training","PROJECT 2 DELIVERABLES","Team need identified","Ongoing","PLANNED","Monthly fee","Team Development","Training team on AI tool usage"
"Leadership Support for Helena","PROJECT 2 DELIVERABLES","Phase 1 identified","Ongoing","PLANNED","Separate quote","Team Development","Leadership coaching and support"
"Quarterly Review Integration","PROJECT 2 DELIVERABLES","Helena request (16/02/26)","March meeting","PLANNED","Monthly fee","Team Development","Integration with quarterly commercial meetings"
